§l§6[>] Select This Character@§l§6[>] Выбрать Этого Персонажа
§6§lDiscoveries@§6§lОткрытия
§b§lQuests@§b§lКвесты
§b§lSecret Discoveries@§b§lСекретные Открытия
§f§lMini-Quests@§f§lМини-Квесты
§cPotion of Healing§4 [1/3]À@§cЗелье Лечения §4 [1/3]
§cPotion of Healing§4 [1/3]@§cЗелье Лечения §4 [1/3]
§cPotion of Healing§4 [2/3]@§cЗелье Лечения §4 [2/3]
§cPotion of Healing§4 [2/3]À@§cЗелье Лечения §4 [2/3]
§cPotion of Healing§4 [3/3]À@§cЗелье Лечения §4 [3/3]
§cPotion of Healing§4 [3/3]@§cЗелье Лечения §4 [3/3]

##############################UNIDENTIFIED ITEMS##############################
§eUnidentified Wand@§eНеидентифицированный Посох
§dUnidentified Wand@§dНеидентифицированный Посох
§bUnidentified Wand@§bНеидентифицированный Посох
§aUnidentified Wand@§aНеидентифицированный Посох
§cUnidentified Wand@§cНеидентифицированный Посох
§5Unidentified Wand@§5Неидентифицированный Посох
§eUnidentified Dagger@§eНеидентифицированный Кинжал
§dUnidentified Dagger@§dНеидентифицированный Кинжал
§bUnidentified Dagger@§bНеидентифицированный Кинжал
§aUnidentified Dagger@§aНеидентифицированный Кинжал
§5Unidentified Dagger@§5Неидентифицированный Кинжал
§eUnidentified Bow@§eНеидентифицированный Лук
§dUnidentified Bow@§dНеидентифицированный Лук
§bUnidentified Bow@§bНеидентифицированный Лук
§aUnidentified Bow@§aНеидентифицированный Лук
§cUnidentified Bow@§cНеидентифицированный Лук
§5Unidentified Bow@§5Неидентифицированный Лук
§eUnidentified Spear@§eНеидентифицированное Копье
§dUnidentified Spear@§dНеидентифицированное Копье
§bUnidentified Spear@§bНеидентифицированное Копье
§aUnidentified Spear@§aНеидентифицированное Копье
§5Unidentified Spear@§5Неидентифицированное Копье
§eUnidentified Helmet@§eНеидентифицированный Шлем
§dUnidentified Helmet@§dНеидентифицированный Шлем
§bUnidentified Helmet@§bНеидентифицированный Шлем
§aUnidentified Helmet@§aНеидентифицированный Шлем
§cUnidentified Helmet@§cНеидентифицированный Шлем
§fUnidentified Helmet@§fНеидентифицированный Шлем
§eUnidentified Chestplate@§eНеидентифицированный Нагрудник
§dUnidentified Chestplate@§dНеидентифицированный Нагрудник
§bUnidentified Chestplate@§bНеидентифицированный Нагрудник
§aUnidentified Chestplate@§aНеидентифицированный Нагрудник
§cUnidentified Chestplate@§cНеидентифицированный Нагрудник
§5Unidentified Chestplate@§5Неидентифицированный Нагрудник
§eUnidentified Leggings@§eНеидентифицированные Штаны
§dUnidentified Leggings@§dНеидентифицированные Штаны
§bUnidentified Leggings@§bНеидентифицированные Штаны
§aUnidentified Leggings@§aНеидентифицированные Штаны
§cUnidentified Leggings@§cНеидентифицированные Штаны
§eUnidentified Boots@§eНеидентифицированные Ботинки
§dUnidentified Boots@§dНеидентифицированные Ботинки
§bUnidentified Boots@§bНеидентифицированные Ботинки
§aUnidentified Boots@§aНеидентифицированные Ботинки
§cUnidentified Boots@§cНеидентифицированные Ботинки
§5Unidentified Boots@§5Неидентифицированные Ботинки
§eUnidentified Ring@§eНеидентифицированное Кольцо
§dUnidentified Ring@§dНеидентифицированное Кольцо
§bUnidentified Ring@§bНеидентифицированное Кольцо
§aUnidentified Ring@§aНеидентифицированное Кольцо
§cUnidentified Ring@§cНеидентифицированное Кольцо
§eUnidentified Bracelet@§eНеидентифицированный Браслет
§dUnidentified Bracelet@§dНеидентифицированный Браслет
§bUnidentified Bracelet@§bНеидентифицированный Браслет
§aUnidentified Bracelet@§aНеидентифицированный Браслет
§cUnidentified Bracelet@§cНеидентифицированный Браслет
§eUnidentified Necklace@§eНеидентифицированный Амулет
§dUnidentified Necklace@§dНеидентифицированный Амулет
§bUnidentified Necklace@§bНеидентифицированный Амулет
§aUnidentified Necklace@§aНеидентифицированный Амулет
§cUnidentified Necklace@§cНеидентифицированный Амулет
§dUnidentified Relik@§dНеидентифицированный Релик
§eUnidentified Relik@§eНеидентифицированный Релик
§bUnidentified Relik@§bНеидентифицированный Релик
§5Unidentified Relik@§5Неидентифицированный Релик
